time_start,time_end,model,launch_place,target,launched,destroyed,source,category,national_origin,type,manufacturer,destroyed_ratio,year,month,day,day_of_week,latitude,longitude
2023-06-11,2023-06-11 08:00,Shahed-136/131,,north-east,6.0,6,kpszsu/posts/pfbid0iPVh3CP6bbZyMDZkGtfbkhBUtaJ1hTYXwP4heWPPBd4PqwyxzfULoSdNRPZgQn3ul,UAV,iran,loitering munition,Shahed Aviation Industries,100.0,2023,6,11,Sunday,,
2023-06-09,2023-06-10 05:00,Unknown Missile,,Ukraine,8.0,2,kpszsu/posts/pfbid02sBccedrDaapnwNF7wVpfnWVKAijBLvoVcWSrdSudGVJgMFkhWJjeWRQWGjJU11E1l,cruise missile,,,,25.0,2023,6,9,Friday,,
2023-06-09,2023-06-10 05:00,Shahed-136/131,,Ukraine,35.0,20,kpszsu/posts/pfbid02sBccedrDaapnwNF7wVpfnWVKAijBLvoVcWSrdSudGVJgMFkhWJjeWRQWGjJU11E1l,UAV,iran,loitering munition,Shahed Aviation Industries,57.14,2023,6,9,Friday,,
2023-06-08,2023-06-09 04:00,X-101/X-555,Caspian Sea,Ukraine,6.0,4,kpszsu/posts/pfbid0aqTDjprsEAgaWkFX7iNdaPBDGxms7B1k9QjufHezEh9Thi8QSBfGhNporFPS35G9l,cruise missile,russia,air-launched,,66.67,2023,6,8,Thursday,41.7789772,50.560757905794325
2023-06-08,2023-06-09 04:00,Shahed-136/131 and Lancet,,Ukraine,16.0,10,kpszsu/posts/pfbid0aqTDjprsEAgaWkFX7iNdaPBDGxms7B1k9QjufHezEh9Thi8QSBfGhNporFPS35G9l,,,,,62.5,2023,6,8,Thursday,,
2023-06-08,2023-06-09 04:00,Orlan-10 and Supercam,,Ukraine,4.0,4,kpszsu/posts/pfbid0aqTDjprsEAgaWkFX7iNdaPBDGxms7B1k9QjufHezEh9Thi8QSBfGhNporFPS35G9l,UAV,russia,reconnaissance,,100.0,2023,6,8,Thursday,,
2023-06-09,2023-06-09,Orlan-10 and ZALA and Supercam,,Ukraine,12.0,12,kpszsu/posts/pfbid02sBccedrDaapnwNF7wVpfnWVKAijBLvoVcWSrdSudGVJgMFkhWJjeWRQWGjJU11E1l,UAV,russia,reconnaissance,,100.0,2023,6,9,Friday,,
2023-06-08,2023-06-08 20:00,Kalibr,Black Sea,Cherkasy oblast,2.0,0,kpszsu/posts/pfbid0aqTDjprsEAgaWkFX7iNdaPBDGxms7B1k9QjufHezEh9Thi8QSBfGhNporFPS35G9l,cruise missile,russia,,,0.0,2023,6,8,Thursday,43.87282395,33.99380770501095
2023-06-07,2023-06-07,Orlan-10,,south,1.0,1,PvKPivden/posts/pfbid08596Z74KPBCNDdH8KZH5UCWtZHNVEmd8rF9qGwQUNuE63gPiFMWjayhwTweBpAc2l,UAV,russia,reconnaissance,Special Technology Center,100.0,2023,6,7,Wednesday,,
2023-06-07,2023-06-07,Lancet,,south,1.0,1,PvKPivden/posts/pfbid08596Z74KPBCNDdH8KZH5UCWtZHNVEmd8rF9qGwQUNuE63gPiFMWjayhwTweBpAc2l,UAV,russia,loitering munition,ZALA Aero Group,100.0,2023,6,7,Wednesday,,
2023-06-06,2023-06-06 04:00,X-101/X-555,Caspian Sea,Ukraine,35.0,35,kpszsu/posts/pfbid02T3ydkmtPv8qhUaKnnffC997phR5yaZy5a2uD2Htn3QehbqyeBbYkJjCHMyCb4KMBl,cruise missile,russia,air-launched,,100.0,2023,6,6,Tuesday,41.7789772,50.560757905794325
2023-06-04,2023-06-04 04:00,X-101/X-555,Caspian Sea,Ukraine,6.0,4,kpszsu/posts/pfbid0TbY8FA4pcJjd6rpfP3yHbyFuKJFe1sVWrY4ut3aikesrx7A46BoFpvcNw4Xi5Y9Ml,cruise missile,russia,air-launched,,66.67,2023,6,4,Sunday,41.7789772,50.560757905794325
2023-06-04,2023-06-04 04:00,Shahed-136/131,Bryansk,Ukraine,5.0,3,kpszsu/posts/pfbid0TbY8FA4pcJjd6rpfP3yHbyFuKJFe1sVWrY4ut3aikesrx7A46BoFpvcNw4Xi5Y9Ml,UAV,iran,loitering munition,Shahed Aviation Industries,60.0,2023,6,4,Sunday,53.2423778,34.3668288
2023-06-02,2023-06-02 04:30,X-101/X-555,Caspian Sea,Kyiv oblast,15.0,15,kpszsu/posts/pfbid0bX6JnH59foQok3EqsY67BXCYhfVaT3DcGrsHbi84D5gaUNGoiGJVpNHD1yTCQgxTl,cruise missile,russia,air-launched,,100.0,2023,6,2,Friday,41.7789772,50.560757905794325
2023-06-01,2023-06-02 04:30,Shahed-136/131,,Kyiv oblast,21.0,21,kpszsu/posts/pfbid0bX6JnH59foQok3EqsY67BXCYhfVaT3DcGrsHbi84D5gaUNGoiGJVpNHD1yTCQgxTl,UAV,iran,loitering munition,Shahed Aviation Industries,100.0,2023,6,1,Thursday,,
2023-06-01,2023-06-01 06:00,Iskander-M,Bryansk,Kyiv oblast,7.0,7,kpszsu/posts/pfbid01CxRw4Y7zWNeaTzohtZgC1CQBuRtYdZkpGQr4ya4uT2ESRnypVJL9j6exqqyUzA6l,ballistic missile,russia,TV-guided,,100.0,2023,6,1,Thursday,53.2423778,34.3668288
2023-06-01,2023-06-01 06:00,Iskander-K,Bryansk,Kyiv oblast,3.0,3,kpszsu/posts/pfbid01CxRw4Y7zWNeaTzohtZgC1CQBuRtYdZkpGQr4ya4uT2ESRnypVJL9j6exqqyUzA6l,cruise missile,russia,,,100.0,2023,6,1,Thursday,53.2423778,34.3668288
2023-05-31,2023-05-31,Orlan-10,,Mykolaiv oblast,1.0,1,PvKPivden/posts/pfbid0BEwJu5X7GhLxMqDcnSzsNEA3w6MbYbNG6Bo1xDoKdHni6wQ2SZeTw2LBqc8uHsAJl,UAV,russia,reconnaissance,Special Technology Center,100.0,2023,5,31,Wednesday,,
2023-05-31,2023-05-31,Merlin-VR,,Mykolaiv oblast,2.0,2,PvKPivden/posts/pfbid0BEwJu5X7GhLxMqDcnSzsNEA3w6MbYbNG6Bo1xDoKdHni6wQ2SZeTw2LBqc8uHsAJl,UAV,russia,reconnaissance,,100.0,2023,5,31,Wednesday,,
2023-05-31,2023-05-31,Lancet,,Mykolaiv oblast,2.0,2,PvKPivden/posts/pfbid0BEwJu5X7GhLxMqDcnSzsNEA3w6MbYbNG6Bo1xDoKdHni6wQ2SZeTw2LBqc8uHsAJl,UAV,russia,loitering munition,ZALA Aero Group,100.0,2023,5,31,Wednesday,,
2023-05-29,2023-05-30 04:30,Shahed-136/131,,Ukraine,31.0,29,kpszsu/posts/pfbid0MJmmdbmrydbLXcYN62qma1AmUZUYguKu2KdAUMETSS69YvghuxxJuEHSSk13AaRYl,UAV,iran,loitering munition,Shahed Aviation Industries,93.55,2023,5,29,Monday,,
2023-05-29,2023-05-29 11:30,Iskander-M and Iskander-K,,Kyiv oblast,11.0,11,kpszsu/posts/pfbid0gN63ZZomAfkuZ1V12DYXrz7yiYk7BkzALiaLH6nfFMdEZFimtiVCCxW3Xv3kcpYDl,,,,,100.0,2023,5,29,Monday,,
2023-05-29,2023-05-29 05:00,X-101/X-555,Caspian Sea,Ukraine,40.0,37,kpszsu/posts/pfbid02RLNV7QyRehfEyevpL4SMYACeKJRB7qhPokEkNun31wyWraskYv9gK9fqUFdqYv9Ql,cruise missile,russia,air-launched,,92.5,2023,5,29,Monday,41.7789772,50.560757905794325
2023-05-29,2023-05-29 05:00,Unknown UAV,,Ukraine,1.0,1,kpszsu/posts/pfbid02RLNV7QyRehfEyevpL4SMYACeKJRB7qhPokEkNun31wyWraskYv9gK9fqUFdqYv9Ql,UAV,,,,100.0,2023,5,29,Monday,,
2023-05-29,2023-05-29 05:00,Shahed-136/131,,Ukraine,35.0,29,kpszsu/posts/pfbid02RLNV7QyRehfEyevpL4SMYACeKJRB7qhPokEkNun31wyWraskYv9gK9fqUFdqYv9Ql,UAV,iran,loitering munition,Shahed Aviation Industries,82.86,2023,5,29,Monday,,
2023-05-28,2023-05-28 08:00,Shahed-136/131,Bryansk,Ukraine,54.0,52,kpszsu/posts/pfbid0tVQ9xH2ABkAgEZF7ovHVHgJfkTBY3zXob8UaBv1YaE7Ky1Pj3SK6fBESQMPzKj4Ml,UAV,iran,loitering munition,Shahed Aviation Industries,96.3,2023,5,28,Sunday,53.2423778,34.3668288
2023-05-25,2023-05-26 05:00,X-101/X-555,Caspian Sea,Ukraine,10.0,10,kpszsu/posts/pfbid0Sie5Cf3Y5BG1ej6Y1b3R1CQFxXYqgU576Ssgh8KoxUGK5o7cVhjxQWZQy3Tw6pZel,cruise missile,russia,air-launched,,100.0,2023,5,25,Thursday,41.7789772,50.560757905794325
2023-05-25,2023-05-26 05:00,Shahed-136/131,,Ukraine,31.0,23,kpszsu/posts/pfbid0Sie5Cf3Y5BG1ej6Y1b3R1CQFxXYqgU576Ssgh8KoxUGK5o7cVhjxQWZQy3Tw6pZel,UAV,iran,loitering munition,Shahed Aviation Industries,74.19,2023,5,25,Thursday,,
2023-05-25,2023-05-26 05:00,Orlan-10,,Ukraine,1.0,1,kpszsu/posts/pfbid0Sie5Cf3Y5BG1ej6Y1b3R1CQFxXYqgU576Ssgh8KoxUGK5o7cVhjxQWZQy3Tw6pZel,UAV,russia,reconnaissance,Special Technology Center,100.0,2023,5,25,Thursday,,
2023-05-25,2023-05-26 05:00,Merlin-VR,,Ukraine,1.0,1,kpszsu/posts/pfbid0Sie5Cf3Y5BG1ej6Y1b3R1CQFxXYqgU576Ssgh8KoxUGK5o7cVhjxQWZQy3Tw6pZel,UAV,russia,reconnaissance,,100.0,2023,5,25,Thursday,,
2023-05-25,2023-05-26 05:00,C-300/C-400,Tokmak,Dnipropetrovsk oblast,7.0,0,kpszsu/posts/pfbid0Sie5Cf3Y5BG1ej6Y1b3R1CQFxXYqgU576Ssgh8KoxUGK5o7cVhjxQWZQy3Tw6pZel,surface-to-air missile,russia,,,0.0,2023,5,25,Thursday,47.15,35.42
2023-05-25,2023-05-25 08:00,Shahed-136/131,,Ukraine,36.0,36,kpszsu/posts/pfbid034ZLv31mdEK43JfAaasmuNNyuAyZ8LwBDUq1by48CW9ha7sA7m3YqVmriovqZbbRRl,UAV,iran,loitering munition,Shahed Aviation Industries,100.0,2023,5,25,Thursday,,
2023-05-23,2023-05-23 08:00,Shahed-136/131,,Ukraine,6.0,6,kpszsu/posts/pfbid02Npntf5iLwFLsw2fgtXmZW4z8rpE7hYdjmALXquUPNCfQ2BBwZp1SsKpuEsmaHnuXl,UAV,iran,loitering munition,Shahed Aviation Industries,100.0,2023,5,23,Tuesday,,
2023-05-22,2023-05-22 05:30,X-22,Kursk,Ukraine,5.0,0,kpszsu/posts/pfbid0hs89Jjw8gVVJofnKddfMA7fpPuEHyrSPB4VHfKjTwpW8mdp8kCWqGt4fRWvMjkHfl,cruise missile,russia,air-to-surface,,0.0,2023,5,22,Monday,51.7309249,36.1923123
2023-05-22,2023-05-22 05:30,X-101/X-555,Caspian Sea,Ukraine,4.0,4,kpszsu/posts/pfbid0hs89Jjw8gVVJofnKddfMA7fpPuEHyrSPB4VHfKjTwpW8mdp8kCWqGt4fRWvMjkHfl,cruise missile,russia,air-launched,,100.0,2023,5,22,Monday,41.7789772,50.560757905794325
2023-05-22,2023-05-22 05:30,Shahed-136/131,,Ukraine,20.0,20,kpszsu/posts/pfbid0hs89Jjw8gVVJofnKddfMA7fpPuEHyrSPB4VHfKjTwpW8mdp8kCWqGt4fRWvMjkHfl,UAV,iran,loitering munition,Shahed Aviation Industries,100.0,2023,5,22,Monday,,
2023-05-22,2023-05-22 05:30,Iskander-M,Crimea,Ukraine,2.0,0,kpszsu/posts/pfbid0hs89Jjw8gVVJofnKddfMA7fpPuEHyrSPB4VHfKjTwpW8mdp8kCWqGt4fRWvMjkHfl,ballistic missile,russia,TV-guided,,0.0,2023,5,22,Monday,45.00434,35.83079
2023-05-22,2023-05-22 05:30,C-300,Tokmak,Ukraine,5.0,0,kpszsu/posts/pfbid0hs89Jjw8gVVJofnKddfMA7fpPuEHyrSPB4VHfKjTwpW8mdp8kCWqGt4fRWvMjkHfl,surface-to-air missile,russia,,,0.0,2023,5,22,Monday,47.15,35.42
